#,Spotify URL,Song Title,Artists
1,https://open.spotify.com/track/2cKovq3l6OJjhVVDbVKOsr,The Other Side,"Hugh Jackman, Zac Efron"
2,https://open.spotify.com/track/6K8VQ84MqhsoakN5MjrnVR,Supercut,Lorde
3,https://open.spotify.com/track/4rr0gWiMrF4sOIefs3IEvZ,A Little Less Conversation,"Elvis Presley, Junkie XL"
4,https://open.spotify.com/track/09ISSfurns145IO6McQN3d,Must I Paint You a Picture,Billy Bragg
5,https://open.spotify.com/track/4AHU8QRdwCUWxPC53cw4Hh,Whole Wide World,Wreckless Eric
6,https://open.spotify.com/track/3F9ByoUqu31xU0I3G5xfVg,Meet Me Halfway,Black Eyed Peas
7,https://open.spotify.com/track/248v7n9dScCunpukQ2gpuo,Black Stick,The Cruel Sea
8,https://open.spotify.com/track/0enI706jL6wsQS5QGPMeKf,Palaces of Montezuma,Grinderman
9,https://open.spotify.com/track/0IfjReTYtafqN3uCfO3Xva,A New England,Billy Bragg
10,https://open.spotify.com/track/1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold),"Stephen Sanchez, Em Beihold"
11,https://open.spotify.com/track/2x7SM4qcKy5hVUrUa21awr,Gin Soaked Boy,The Divine Comedy
12,https://open.spotify.com/track/1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),"P!nk, Nate Ruess"
13,https://open.spotify.com/track/1tfZtA15BfJHQTUy3dqTKC,Build Me Up Buttercup,The Foundations
14,https://open.spotify.com/track/7BzPr3MtXDu5cuPIqFylKf,Like Wow,Hoodoo Gurus
15,https://open.spotify.com/track/3ueoTboomKEQpI3r9z47Kg,F**kin' Perfect,P!nk
16,https://open.spotify.com/track/5BsQUJM2fBA427ysCZs7DV,Girls Just Want to Have Fun,Cyndi Lauper
17,https://open.spotify.com/track/2dpO3NteNWUDL2S9e0t0Mi,Make Me Smile (Come up and See Me),Steve Harley & Cockney Rebel
18,https://open.spotify.com/track/6cs44cWPd4652NlIrzRqNx,On My Own,Frances Ruffelle
19,https://open.spotify.com/track/0X2DxRD6WZso2pz9TyVzUs,Rainy Night House,Joni Mitchell
20,https://open.spotify.com/track/7vCWu7RiPHeDlr2gRvyu8O,Midnight Blue,Lou Gramm
21,https://open.spotify.com/track/0Ytxje4D5iXTHN3MOCC5jS,Together In Electric Dreams,"Phil Oakey, Giorgio Moroder"
22,https://open.spotify.com/track/4tFIVbgaIQCgGxcLBdsljv,Don't Dream It's Over (Live at Sydney Opera House) (2006,Crowded House
23,https://open.spotify.com/track/7raciFPVU5VuHmqVbw2c1h,"Puff, the Magic Dragon","Peter, Paul and Mary"
24,https://open.spotify.com/track/6U0NPtExZu3tKg8ZDozFxl,Tusk,Fleetwood Mac
25,https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish
26,https://open.spotify.com/track/2nvFPUDTbJpefU0iqSLWq7,Supermassive Black Hole,Muse
27,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez"
28,https://open.spotify.com/track/1DGemMGjLgcyq222dqiEkr,Wonderwall,Oasis
29,https://open.spotify.com/track/0uPIwcT6OdJ5BAJdYkxVp9,Rock On,David Essex
30,https://open.spotify.com/track/5RYLa5P4qweEAKq5U1gdcK,A Kind Of Magic,Queen
31,https://open.spotify.com/track/1oSPStIOjKzNhPqCU1xXVi,It's Only Natural,Crowded House
32,https://open.spotify.com/track/19FX445jYl2XFNKvVKJ9NJ,Rock 'N' Roll All Nite,KISS
33,https://open.spotify.com/track/2QxviKpVdEXKDWs706MUZB,Old Phone,Ed Sheeran
34,https://open.spotify.com/track/1musbempyJAw5gfSKZHXP9,Anxiety,Doechii
35,https://open.spotify.com/track/7vJz53OhSGMIxLlwhfwqzu,Leave a Light On,Belinda Carlisle
36,https://open.spotify.com/track/5CrQrw8DzfF9v5m9M6NV7Y,God Only Knows,"The Beach Boys, Royal Philharmonic Orchestra"
37,https://open.spotify.com/track/2kYi8NW1OV34yvSsJxqsNV,Burn For You,INXS
38,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars"
39,https://open.spotify.com/track/2jyXJ3RB21d3tZVZRiHtKm,Long Way to Go,"P!nk, The Lumineers"
40,https://open.spotify.com/track/3wfujdbamR3Z46F4xav7LM,Drive,The Cars
41,https://open.spotify.com/track/40MTAe7rupM7DNRrw72Q8i,Goddess on a Hiway,Mercury Rev
42,https://open.spotify.com/track/4MLBqAEzNN89o2M9h92Z26,Get Back,The Beatles
43,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Shawn Mendes
44,https://open.spotify.com/track/7gQ5c5HY6zMsIck6QLY9dJ,Hurricane,Bridgit Mendler
45,https://open.spotify.com/track/5xEM5hIgJ1jjgcEBfpkt2F,Complicated,Avril Lavigne
46,https://open.spotify.com/track/0nLiqZ6A27jJri2VCalIUs,Nothing Else Matters,Metallica
47,https://open.spotify.com/track/7w6PJe5KBPyvuRYxFkPssC,No More Tears,Ozzy Osbourne
48,https://open.spotify.com/track/6ZXmTH4DpP07a2TvHx1EF9,Could You Be Loved,Bob Marley & The Wailers
49,https://open.spotify.com/track/1PRS1gPrQGr3sHUJal13Nr,Alive And Kicking,Simple Minds
50,https://open.spotify.com/track/2qWKpYIleSvBT6aUMXoia5,Angel from Montgomery,John Prine
51,https://open.spotify.com/track/4sKH3QYcbXiqJGOW0t7dMS,Famous Blue Raincoat,Leonard Cohen
52,https://open.spotify.com/track/2A6yzRGMgSQCUapR2ptm6A,True Colors,Cyndi Lauper
53,https://open.spotify.com/track/5GHY1DFWKz3Prg2V0Iodqo,Nothing Compares 2 U,Sinéad O Connor
54,https://open.spotify.com/track/6rovOdp3HgK1DeAMYDzoA7,Maggie May,Rod Stewart
55,https://open.spotify.com/track/4rANZ4v2Kha2TpOWl4zEdd,Washed Away,Arrested Development
56,https://open.spotify.com/track/7uDsSmffGuM7nUVfk1nNGh,Sea Of Love,Tom Waits
57,https://open.spotify.com/track/0DAmSYQW9kq9gQNDI002KP,River,Joni Mitchell
58,https://open.spotify.com/track/6oMQiqmcVGYm0OfMwNh7rI,Bad To The Bone,George Thorogood & The Destroyers
59,https://open.spotify.com/track/2FEhotYzQW8wdxy6PN2WU8,Levi Stubbs' Tears,Billy Bragg
60,https://open.spotify.com/track/1ejh2DqEdjYcqA1OW1a7Hi,No Pussy Blues,Grinderman
61,https://open.spotify.com/track/64Hx5gD6lvfxIFU1KMJML0,The Price I Pay,Billy Bragg
62,https://open.spotify.com/track/7ziicmUOzWXAkdPriOmFk9,The Only One I Know,The Charlatans
63,https://open.spotify.com/track/1uPDr3h5KmmAF6hkg7JcZE,Only You,Bruce Maginnis
64,https://open.spotify.com/track/4SX6MuXZrQRsVv6MI1rWGI,Tammy,Debbie Reynolds
65,https://open.spotify.com/track/6VL9yCcaOujJYNqZnVV2SE,Love Is a Stranger,Kate Miller-Heidke
66,https://open.spotify.com/track/4n8WKdlSKYbtVe6ELlbvup,You Can't Put Your Arms Around a Memory,Johnny Thunders
67,https://open.spotify.com/track/1iiQGNfXljtGZWY8yz9epr,I Can't Forget,Leonard Cohen
68,https://open.spotify.com/track/3U5JVgI2x4rDyHGObzJfNf,Unwritten,Natasha Bedingfield
69,https://open.spotify.com/track/6TGYhiXuiLGQEkGOsxPgKH,Possibly Maybe,Björk
70,https://open.spotify.com/track/4txojlesMFQZGWxwz2EeqB,"Would've, Could've, Should've",Taylor Swift
71,https://open.spotify.com/track/6A521u0gY1goZmyLRFS0yK,"Something, Somehow, Someday",ROLE MODEL
72,https://open.spotify.com/track/7AwNJe0eBBZRQBEh95rgHz,Bluebird Of Happiness,Jan Peerce
73,https://open.spotify.com/track/1pXgBjIvALm97lDhroan2E,Times Like These,Foo Fighters
74,https://open.spotify.com/track/1dT8R1DLYOVZBMd0KUr2pr,Rebel Yell,Billy Idol
75,https://open.spotify.com/track/1N4f06yuLRadAmdClsbUoi,Remember You're Mine,Pat Boone
76,https://open.spotify.com/track/5jnAgTlGzjk0UmCkXo1lRv,Piece O' Peace,Michael Franti & Spearhead
77,https://open.spotify.com/track/3Zwu2K0Qa5sT6teCCHPShP,Thnks fr th Mmrs,Fall Out Boy
78,https://open.spotify.com/track/13pyGLYmBjYgvOMIEivX2K,I Don't Feel Like Dancin',Scissor Sisters
79,https://open.spotify.com/track/67d8PXMNPiKauh0XQk9Ls7,Dreamgirl,Dave Matthews Band
80,https://open.spotify.com/track/04ad6JdnrYtTQ2hjc4LulJ,Turn Back Time,Aqua
81,https://open.spotify.com/track/2Srd8Jgif3kc6ou6Z4pSYJ,Every You Every Me,Placebo
82,https://open.spotify.com/track/0gwmk4aEcJ36YJowdXzDtu,When The River Runs Dry,Hunters & Collectors
83,https://open.spotify.com/track/1LwP9g1Hjbs64jXM2Qsxry,Just Like Honey,The Jesus and Mary Chain
84,https://open.spotify.com/track/56nIKhsMf67vT6joWhMWpT,All I Want for Christmas Is You,Mariah Carey
85,https://open.spotify.com/track/3BJe4B8zGnqEdQPMvfVjuS,Summertime Sadness,Lana Del Rey
86,https://open.spotify.com/track/2IRMCtPrxmJwpyfCF8WcJA,"Mozart: Die Zauberflöte, K. 620, Act 2: Queen of the Night Aria. &quot;Der Hölle Rache kocht in meinem Herzen&quot; (Königin)","Wolfgang Amadeus Mozart, Diana Damrau, Le Cercle De L'Harmonie, Jérémie Rhorer"
87,https://open.spotify.com/track/00iXlZ8jMVxSrxXvQomYU1,Home Is Where the Heart Is,Elvis Presley
88,https://open.spotify.com/track/6DfzPrEzfEFNiCghZsdVBV,Home Is Where The Heart Is,Lady A
89,https://open.spotify.com/track/55XOFkEEYgeqxZkQfEt97X,The Needle and the Damage Done,Neil Young
90,https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU,The Chain,Fleetwood Mac
91,https://open.spotify.com/track/0qi4b1l0eT3jpzeNHeFXDT,Just Can't Get Enough,Depeche Mode
92,https://open.spotify.com/track/7xoUc6faLbCqZO6fQEYprd,One Last Time,Ariana Grande
93,https://open.spotify.com/track/4WFgvKVfEhb3IUAFGrutTR,Love Me Not,Ravyn Lenae
94,https://open.spotify.com/track/3iHzKA9HlXf5wsGdsrsnSA,Forget Me,Lewis Capaldi
95,https://open.spotify.com/track/6QuZItiMYtld6kAeQbs7Tv,New Sensation,INXS
96,https://open.spotify.com/track/55C2I2kOuiadd96cqVL2tx,Send Me An Angel (2009 Version),Real Life
97,https://open.spotify.com/track/3IPnBzGRMg6BfViFxxa0Gq,Love Is an Open Door,"Kristen Bell, Santino Fontana"
98,https://open.spotify.com/track/6MYYN85MjM7TARWshRwjyW,Human Behaviour,Björk
99,https://open.spotify.com/track/0tHOTQBn2M4CD2dcyHivth,Burn,The Cure
100,https://open.spotify.com/track/7c1iI6dwdCpHGYT8DGEfab,Uninvited,Alanis Morissette
101,https://open.spotify.com/track/5gNpWhKgAmTxIl3G2Wne5U,Girl In The Moon,ICEHOUSE
